Symbol,Market Cap,Sector,Industry
CARR,42709292025,Capital Goods,Industrial Machinery/Components
CARS,912273338,,
CAS,285487500,,
CAT,1.19735E+11,Capital Goods,Construction/Ag Equipment/Trucks
CATO,380476089,,
CB,74023565551,Finance,Property-Casualty Insurers
CBAH,416285625,,
CBB,780611970,Public Utilities,Telecommunications Equipment
CBB^B,,,
CBD,1929447767,Consumer Services,Food Chains
CBH,189340811,Finance,Trusts Except Educational Religious and Charitable
CBRE,28802760636,Finance,Real Estate
CBT,3329520561,Basic Industries,Specialty Chemicals
CBU,4001370813,Finance,Major Banks
CBZ,1719273100,Miscellaneous,Business Services
CC,5773557867,Basic Industries,Industrial Specialties
CCAC,341895000,Finance,Business Services
CCEP,28153484430,Consumer Non-Durables,Beverages (Production/Distribution)
CCI,87769073310,Consumer Services,Real Estate Investment Trusts
CCIV,6947437500,,
CCJ,7169509348,Basic Industries,Precious Metals
CCK,14276356619,Consumer Durables,Containers/Packaging
CCL,27628855595,,
CCM,121559194,Health Care,Medical/Nursing Services
CCO,1238291279,Technology,Advertising
CCS,2128175414,Capital Goods,Homebuilding
CCU,3846524898,Consumer Non-Durables,Beverages (Production/Distribution)
CCV,628125000,,
CCVI,689310000,,
CCZ,0,Consumer Services,Television Services
CDAY,14350699348,Technology,EDP Services
CDE,2121154918,Basic Industries,Precious Metals
CDR,231268993,Consumer Services,Real Estate Investment Trusts
CDR^B,,,
CDR^C,,,
CE,17388214613,Basic Industries,Major Chemicals
CEA,6489561545,Transportation,Air Freight/Delivery Services
CEE,181160693,Finance,Finance Companies
CEIX,662777150,,
CELP,30581636,Energy,Oilfield Services/Equipment
CEM,411223366,Finance,Investment Managers
CEN,63349793,Finance,Finance Companies
CEPU,374787430,Public Utilities,Electric Utilities: Central
CEQP,1834073611,Energy,Oilfield Services/Equipment
CEQP^,,,
CF,10854454142,Basic Industries,Agricultural Chemicals
CFG,19537416393,Finance,Major Banks
CFG^D,,,
CFG^E,,,
CFR,6927072717,Finance,Major Banks
CFR^B,,,
CFX,6299851998,Capital Goods,Fluid Controls
CFXA,0,Capital Goods,Fluid Controls
